cycle,t_sec,contact_l0,contact_l1,contact_l2,contact_r0,contact_r1,contact_r2,n_contacts,fb_rate_left_hz,fb_rate_right_hz,p9_spikes_left,p9_spikes_right,p9_left_hz,p9_right_hz,p9_left_hz_ema,p9_right_hz_ema,cmd_left,cmd_right,thorax_x_mm,thorax_y_mm,thorax_z_mm,cpg_phase_0,cpg_phase_3,perturbed,heading_deg
0,0.0,1,1,1,1,1,1,6,300.0,300.0,1,1,66.7,66.7,66.67,66.67,0.4938,0.4938,0.5984,-0.0264,1.0675,4.5648,4.5579,0,-2.83
1,0.015,1,1,1,1,1,1,6,300.0,300.0,2,2,133.3,133.3,75.95,75.95,0.5626,0.5626,0.6397,-0.0154,1.0477,5.6519,5.7009,0,-1.05
2,0.03,1,1,1,1,1,1,6,300.0,300.0,2,2,133.3,133.3,83.95,83.95,0.6218,0.6218,0.6361,0.0282,0.9517,0.4209,0.5761,0,-0.32
3,0.045,1,0,1,0,1,1,4,206.7,206.7,0,2,0.0,133.3,72.25,90.82,0.5352,0.6728,0.6569,0.1211,0.8837,1.4341,1.7609,0,0.71
4,0.06,0,1,1,0,1,1,4,206.7,206.7,1,1,66.7,66.7,71.47,87.46,0.5294,0.6479,0.745,0.17,0.9481,2.4102,2.9822,0,0.76
5,0.075,1,1,1,1,1,1,6,300.0,300.0,1,2,66.7,133.3,70.8,93.85,0.5245,0.6952,0.8544,0.1788,1.0029,3.358,4.2465,0,0.16
6,0.09,1,1,1,1,1,1,6,300.0,300.0,1,2,66.7,133.3,70.23,99.35,0.5202,0.7359,0.9137,0.1344,0.9829,4.2934,5.5534,0,0.05
7,0.105,1,0,1,1,1,0,4,206.7,206.7,1,2,66.7,133.3,69.73,104.08,0.5165,0.771,0.9599,0.1235,0.9267,5.2379,0.6056,0,1.4
8,0.12,1,0,1,0,1,1,4,206.7,206.7,0,1,0.0,66.7,60.02,98.87,0.4446,0.7324,1.0495,0.2385,0.9667,6.2124,1.9403,0,7.42
9,0.135,1,1,1,0,1,1,5,300.0,206.7,1,2,66.7,133.3,60.95,103.67,0.4514,0.7679,1.2317,0.318,0.8748,0.9415,3.2491,0,8.17
10,0.15,0,1,1,1,1,1,5,206.7,300.0,0,1,0.0,66.7,52.46,98.52,0.3886,0.7298,1.3781,0.346,0.9967,1.9886,4.5212,0,8.57
11,0.165,1,1,1,1,1,1,6,300.0,300.0,1,2,66.7,133.3,54.44,103.37,0.4032,0.7657,1.455,0.2869,0.9638,3.0625,5.7584,0,5.46
12,0.18,0,1,1,1,1,1,5,206.7,300.0,2,2,133.3,133.3,65.43,107.54,0.4846,0.7966,1.5897,0.2326,0.919,4.1551,0.6868,0,6.55
13,0.195,1,0,1,0,1,1,4,206.7,206.7,0,2,0.0,133.3,56.31,111.13,0.4171,0.8232,1.6627,0.3084,0.994,5.2604,1.8784,0,11.58
14,0.21,1,1,1,1,1,1,6,300.0,300.0,1,1,66.7,66.7,57.75,104.94,0.4278,0.7773,1.7116,0.4218,1.0422,0.0912,3.0542,0,15.09
15,0.225,1,1,1,1,1,1,6,300.0,300.0,1,3,66.7,200.0,59.0,118.18,0.437,0.8754,1.9074,0.5935,0.9942,1.2107,4.2189,0,15.94
16,0.24,0,1,0,1,0,1,3,113.3,206.7,1,2,66.7,133.3,60.06,120.29,0.4449,0.891,2.0344,0.5532,1.0553,2.3338,5.3754,0,12.93
17,0.255,0,1,1,1,1,1,5,206.7,300.0,0,2,0.0,133.3,51.7,122.11,0.3829,0.9045,2.1304,0.5088,1.0009,3.4592,0.2424,0,12.12
18,0.27,1,1,1,0,1,1,5,300.0,206.7,2,0,133.3,0.0,63.07,105.1,0.4672,0.7785,2.3125,0.4847,0.9629,4.5865,1.388,0,14.58
19,0.285,1,0,1,0,1,1,4,206.7,206.7,2,2,133.3,133.3,72.86,109.03,0.5397,0.8076,2.3361,0.6334,1.0934,5.715,2.5304,0,20.55
20,0.3,1,0,1,0,1,1,4,206.7,206.7,1,1,66.7,66.7,71.99,103.13,0.5333,0.7639,2.4583,0.7784,1.0417,0.5613,3.6703,0,21.28
21,0.315,0,1,0,1,0,1,3,113.3,206.7,1,1,66.7,66.7,71.25,98.05,0.5278,0.7263,2.6431,0.8873,1.0781,1.6914,4.8082,0,21.04
22,0.33,1,1,1,1,0,1,5,300.0,206.7,3,1,200.0,66.7,89.19,93.68,0.6606,0.6939,2.7406,0.8247,1.0929,2.8218,5.9446,0,17.84
23,0.345,1,1,1,1,0,1,5,300.0,206.7,1,1,66.7,66.7,86.05,89.92,0.6374,0.6661,2.8981,0.7759,1.0275,3.9525,0.7967,0,19.04
24,0.36,1,0,1,0,1,1,4,206.7,206.7,0,1,0.0,66.7,74.06,86.68,0.5486,0.6421,3.0083,0.8806,1.1145,5.0833,1.931,0,21.74
25,0.375,1,1,1,0,1,1,5,300.0,206.7,0,1,0.0,66.7,63.75,83.89,0.4722,0.6214,3.0407,0.9898,1.1159,6.2141,3.0644,0,25.12
26,0.39,1,1,1,0,1,1,5,300.0,206.7,2,1,133.3,66.7,73.44,81.49,0.544,0.6036,3.1695,1.1767,1.0882,1.0619,4.1972,0,24.58
27,0.405,0,1,1,1,0,1,4,206.7,206.7,3,2,200.0,133.3,91.07,88.71,0.6746,0.6571,3.3133,1.1463,1.1376,2.1928,5.3296,0,21.48
28,0.42,0,1,1,1,0,1,4,206.7,206.7,1,1,66.7,66.7,87.67,85.64,0.6494,0.6344,3.4283,1.0965,1.0926,3.3238,0.1785,0,18.95
29,0.435,1,1,1,0,1,0,4,300.0,113.3,1,1,66.7,66.7,84.74,83.0,0.6277,0.6148,3.6453,1.0712,1.0781,4.4547,1.3104,0,19.85
30,0.45,1,0,1,0,1,1,4,206.7,206.7,1,1,66.7,66.7,82.23,80.72,0.6091,0.598,3.6881,1.2075,1.1462,5.5857,2.442,0,24.32
31,0.465,1,0,1,0,1,1,4,206.7,206.7,1,1,66.7,66.7,80.06,78.77,0.593,0.5835,3.7805,1.3264,1.0698,0.4335,3.5735,0,24.87
32,0.48,0,1,0,1,0,1,3,113.3,206.7,1,1,66.7,66.7,78.19,77.08,0.5792,0.571,3.9328,1.4563,1.1104,1.5645,4.7048,0,23.69
33,0.495,0,1,1,1,0,1,4,206.7,206.7,0,2,0.0,133.3,67.3,84.92,0.4985,0.629,4.0418,1.401,1.1461,2.6954,5.8361,0,20.02
34,0.51,0,1,1,1,0,1,4,206.7,206.7,0,2,0.0,133.3,57.93,91.66,0.4291,0.679,4.1978,1.3625,1.0658,3.8264,0.6841,0,20.04
35,0.525,1,0,1,0,1,0,3,206.7,113.3,2,1,133.3,66.7,68.43,88.18,0.5069,0.6532,4.3276,1.4371,1.1356,4.9574,1.8152,0,21.79
36,0.54,1,0,1,0,1,1,4,206.7,206.7,1,1,66.7,66.7,68.18,85.18,0.5051,0.631,4.3687,1.5429,1.151,6.0883,2.9463,0,25.31
37,0.555,1,1,1,0,1,1,5,300.0,206.7,1,1,66.7,66.7,67.97,82.6,0.5035,0.6119,4.4688,1.7109,1.1065,0.9361,4.0774,0,24.78
38,0.57,0,1,0,1,0,1,3,113.3,206.7,0,1,0.0,66.7,58.51,80.38,0.4334,0.5954,4.6147,1.7067,1.15,2.0671,5.2084,0,22.51
39,0.585,0,1,1,1,0,1,4,206.7,206.7,1,2,66.7,133.3,59.64,87.76,0.4418,0.6501,4.716,1.67,1.1162,3.1981,0.0563,0,20.01
40,0.6,1,1,1,0,1,0,4,300.0,113.3,1,0,66.7,0.0,60.62,75.53,0.449,0.5595,4.888,1.6314,1.0756,4.329,1.1873,0,20.69
41,0.615,1,0,1,0,1,0,3,206.7,113.3,0,1,0.0,66.7,52.18,74.3,0.3865,0.5504,4.9189,1.7578,1.1513,5.46,2.3183,0,24.76
42,0.63,1,1,1,0,1,1,5,300.0,206.7,1,2,66.7,133.3,54.19,82.52,0.4014,0.6113,4.9778,1.8544,1.0965,0.3078,3.4493,0,26.02
43,0.645,0,1,1,1,0,1,4,206.7,206.7,2,1,133.3,66.7,65.22,80.31,0.4831,0.5949,5.1228,2.0082,1.1106,1.4388,4.5803,0,25.43
44,0.66,0,1,1,1,0,1,4,206.7,206.7,1,1,66.7,66.7,65.42,78.41,0.4846,0.5808,5.2201,1.9635,1.1465,2.5697,5.7113,0,22.44
45,0.675,1,1,1,1,0,1,5,300.0,206.7,1,1,66.7,66.7,65.59,76.78,0.4859,0.5687,5.3465,1.9421,1.0513,3.7007,0.5591,0,22.7
46,0.69,1,0,1,0,1,1,4,206.7,206.7,1,1,66.7,66.7,65.74,75.37,0.487,0.5583,5.4804,1.9864,1.1145,4.8317,1.6901,0,23.52
47,0.705,1,0,1,0,1,1,4,206.7,206.7,0,2,0.0,133.3,56.59,83.44,0.4192,0.6181,5.5094,2.0872,1.1489,5.9627,2.821,0,27.16
48,0.72,1,0,1,0,1,1,4,206.7,206.7,1,2,66.7,133.3,57.99,90.39,0.4296,0.6696,5.5922,2.2336,1.0922,0.8105,3.952,0,26.76
49,0.735,0,1,1,1,0,1,4,206.7,206.7,0,1,0.0,66.7,49.91,87.09,0.3697,0.6451,5.7412,2.2765,1.1347,1.9414,5.083,0,25.43
50,0.75,0,1,1,1,0,1,4,206.7,206.7,0,1,0.0,66.7,42.96,84.24,0.3182,0.624,5.8365,2.2475,1.113,3.0724,6.214,0,23.35
51,0.765,1,1,1,1,1,1,6,300.0,300.0,1,2,66.7,133.3,46.26,91.08,0.3427,0.6747,5.9728,2.2028,1.0571,4.2034,1.0618,0,23.92
